County,FIPS,Population
Franklin County FL,12037,12125
Gadsden County FL,12039,45660
Gilchrist County FL,12041,18582
Glades County FL,12043,13811
Gulf County FL,12045,13639
Hamilton County FL,12047,14428
Hardee County FL,12049,26937
Hendry County FL,12051,42022
Hernando County FL,12053,193920
Highlands County FL,12055,106221
Hillsborough County FL,12057,1471968
Holmes County FL,12059,19617
Indian River County FL,12061,159923
Jackson County FL,12063,46414
Jefferson County FL,12065,14246
Lafayette County FL,12067,8422
Lake County FL,12069,367118
Lee County FL,12071,770577
Leon County FL,12073,293582
Levy County FL,12075,41503
Liberty County FL,12077,8354
Madison County FL,12079,18493
Manatee County FL,12081,403253
Marion County FL,12083,365579
Martin County FL,12085,161000
Miami-Dade County FL,12086,2716940
Monroe County FL,12087,74228
Nassau County FL,12089,88625
Okaloosa County FL,12091,210738
Okeechobee County FL,12093,42168
Orange County FL,12095,1393452
Osceola County FL,12097,375751
Palm Beach County FL,12099,1496770
Pasco County FL,12101,553947
Pinellas County FL,12103,974996
Polk County FL,12105,724777
Putnam County FL,12107,74521
St. Johns County FL,12109,264672
St. Lucie County FL,12111,328297
Santa Rosa County FL,12113,184313
Sarasota County FL,12115,433742
Seminole County FL,12117,471826
Sumter County FL,12119,132420
Suwannee County FL,12121,44417
Taylor County FL,12123,21569
Union County FL,12125,15237
Volusia County FL,12127,553284
Wakulla County FL,12129,33739
Walton County FL,12131,74071
Washington County FL,12133,25473
Appling County GA,13001,18386
Atkinson County GA,13003,8165
Bacon County GA,13005,11164
Baker County GA,13007,3038
Baldwin County GA,13009,44890
Banks County GA,13011,19234
Barrow County GA,13013,83240
Bartow County GA,13015,107738
Ben Hill County GA,13017,16700
Berrien County GA,13019,19397
Bibb County GA,13021,153159
Bleckley County GA,13023,12873
Brantley County GA,13025,19109
Brooks County GA,13027,15457
Bryan County GA,13029,39627
Bulloch County GA,13031,79608
Burke County GA,13033,22383
Butts County GA,13035,24936
Calhoun County GA,13037,6189
Camden County GA,13039,54666
Candler County GA,13043,10803
Carroll County GA,13045,119992
Catoosa County GA,13047,67580
Charlton County GA,13049,13392
Chatham County GA,13051,289430
Chattahoochee County GA,13053,10907
Chattooga County GA,13055,24789
Cherokee County GA,13057,258773
Clarke County GA,13059,128331
Clay County GA,13061,2834
Clayton County GA,13063,292256
Clinch County GA,13065,6618
Cobb County GA,13067,760141
Coffee County GA,13069,43273
Colquitt County GA,13071,45600
Columbia County GA,13073,156714
Cook County GA,13075,17270
Coweta County GA,13077,148509
Crawford County GA,13079,12404
Crisp County GA,13081,22372
Dade County GA,13083,16116
Dawson County GA,13085,26108
Decatur County GA,13087,26404
DeKalb County GA,13089,759297
Dodge County GA,13091,20605
Dooly County GA,13093,13390
Dougherty County GA,13095,87956
Douglas County GA,13097,146343
Early County GA,13099,10190
Echols County GA,13101,4006
Effingham County GA,13103,64296
Elbert County GA,13105,19194
Emanuel County GA,13107,22646
Evans County GA,13109,10654
Fannin County GA,13111,26188
Fayette County GA,13113,114421
Floyd County GA,13115,98498
Forsyth County GA,13117,244252
Franklin County GA,13119,23349
Fulton County GA,13121,1063937
Gilmer County GA,13123,31369
Glascock County GA,13125,2971
Glynn County GA,13127,85292
Gordon County GA,13129,57963
Grady County GA,13131,24633
Greene County GA,13133,18324
Gwinnett County GA,13135,936250
Habersham County GA,13137,45328
Hall County GA,13139,204441
Hancock County GA,13141,8457
Haralson County GA,13143,29792
Harris County GA,13145,35236
Hart County GA,13147,26205
Heard County GA,13149,11923
Henry County GA,13151,234561
Houston County GA,13153,157863
Irwin County GA,13155,9416
