County,FIPS,Population
Pamlico County NC,37137,12726
Pasquotank County NC,37139,39824
Pender County NC,37141,63060
Perquimans County NC,37143,13463
Person County NC,37145,39490
Pitt County NC,37147,180742
Polk County NC,37149,20724
Randolph County NC,37151,143667
Richmond County NC,37153,44829
Robeson County NC,37155,130625
Rockingham County NC,37157,91010
Rowan County NC,37159,142088
Rutherford County NC,37161,67029
Sampson County NC,37163,63531
Scotland County NC,37165,34823
Stanly County NC,37167,62806
Stokes County NC,37169,45591
Surry County NC,37171,71783
Swain County NC,37173,14271
Transylvania County NC,37175,34385
Tyrrell County NC,37177,4016
Union County NC,37179,239859
Vance County NC,37181,44535
Wake County NC,37183,1111761
Warren County NC,37185,19731
Washington County NC,37187,11580
Watauga County NC,37189,56177
Wayne County NC,37191,123131
Wilkes County NC,37193,68412
Wilson County NC,37195,81801
Yadkin County NC,37197,37667
Yancey County NC,37199,18069
Adams County ND,38001,2216
Barnes County ND,38003,10415
Benson County ND,38005,6832
Billings County ND,38007,928
Bottineau County ND,38009,6282
Bowman County ND,38011,3024
Burke County ND,38013,2115
Burleigh County ND,38015,95626
Cass County ND,38017,181923
Cavalier County ND,38019,3762
Dickey County ND,38021,4872
Divide County ND,38023,2264
Dunn County ND,38025,4424
Eddy County ND,38027,2287
Emmons County ND,38029,3241
Foster County ND,38031,3210
Golden Valley County ND,38033,1761
Grand Forks County ND,38035,69451
Grant County ND,38037,2274
Griggs County ND,38039,2231
Hettinger County ND,38041,2499
Kidder County ND,38043,2480
LaMoure County ND,38045,4046
Logan County ND,38047,1850
McHenry County ND,38049,5745
McIntosh County ND,38051,2497
McKenzie County ND,38053,15024
McLean County ND,38055,9450
Mercer County ND,38057,8187
Morton County ND,38059,31364
Mountrail County ND,38061,10545
Nelson County ND,38063,2879
Oliver County ND,38065,1959
Pembina County ND,38067,6801
Pierce County ND,38069,3975
Ramsey County ND,38071,11519
Ransom County ND,38073,5218
Renville County ND,38075,2327
Richland County ND,38077,16177
Rolette County ND,38079,14176
Sargent County ND,38081,3898
Sheridan County ND,38083,1315
Sioux County ND,38085,4230
Slope County ND,38087,750
Stark County ND,38089,31489
Steele County ND,38091,1890
Stutsman County ND,38093,20704
Towner County ND,38095,2189
Traill County ND,38097,8036
Walsh County ND,38099,10641
Ward County ND,38101,67641
Wells County ND,38103,3834
Williams County ND,38105,37589
Adams County OH,39001,27698
Allen County OH,39003,102351
Ashland County OH,39005,53484
Ashtabula County OH,39007,97241
Athens County OH,39009,65327
Auglaize County OH,39011,45656
Belmont County OH,39013,67006
Brown County OH,39015,43432
Butler County OH,39017,383134
Carroll County OH,39019,26914
Champaign County OH,39021,38885
Clark County OH,39023,134083
Clermont County OH,39025,206428
Clinton County OH,39027,41968
Columbiana County OH,39029,101883
Coshocton County OH,39031,36600
Crawford County OH,39033,41494
Cuyahoga County OH,39035,1235072
Darke County OH,39037,51113
Defiance County OH,39039,38087
Delaware County OH,39041,209177
Erie County OH,39043,74266
Fairfield County OH,39045,157574
Fayette County OH,39047,28525
Franklin County OH,39049,1316756
Fulton County OH,39051,42126
Gallia County OH,39053,29898
Geauga County OH,39055,93649
Greene County OH,39057,168937
Guernsey County OH,39059,38875
Hamilton County OH,39061,817473
Hancock County OH,39063,75783
Hardin County OH,39065,31365
Harrison County OH,39067,15040
Henry County OH,39069,27006
Highland County OH,39071,43161
Hocking County OH,39073,28264
Holmes County OH,39075,43960
Huron County OH,39077,58266
Jackson County OH,39079,32413
Jefferson County OH,39081,65325
Knox County OH,39083,62322
Lake County OH,39085,230149
Lawrence County OH,39087,59463
Licking County OH,39089,176862
Logan County OH,39091,45672
Lorain County OH,39093,309833
Lucas County OH,39095,428348
Madison County OH,39097,44731
Mahoning County OH,39099,228683
Marion County OH,39101,65093
Medina County OH,39103,179746
Meigs County OH,39105,22907
Mercer County OH,39107,41172
Miami County OH,39109,106987
Monroe County OH,39111,13654
Montgomery County OH,39113,531687
Morgan County OH,39115,14508
Morrow County OH,39117,35328
Muskingum County OH,39119,86215
Noble County OH,39121,14424
Ottawa County OH,39123,40525
Paulding County OH,39125,18672
Perry County OH,39127,36134
Pickaway County OH,39129,58457
Pike County OH,39131,27772
Portage County OH,39133,162466
Preble County OH,39135,40882
Putnam County OH,39137,33861
Richland County OH,39139,121154
Ross County OH,39141,76666
Sandusky County OH,39143,58518
Scioto County OH,39145,75314
Seneca County OH,39147,55178
Shelby County OH,39149,48590
Stark County OH,39151,370606
Summit County OH,39153,541013
Trumbull County OH,39155,197974
Tuscarawas County OH,39157,91987
Union County OH,39159,58988
Van Wert County OH,39161,28275
Vinton County OH,39163,13085
Warren County OH,39165,234602
Washington County OH,39167,59911
Wayne County OH,39169,115710
Williams County OH,39171,36692
Wood County OH,39173,130817
Wyandot County OH,39175,21772
Adair County OK,40001,22194
Alfalfa County OK,40003,5702
Atoka County OK,40005,13758
Beaver County OK,40007,5311
Beckham County OK,40009,21859
Blaine County OK,40011,9429
Bryan County OK,40013,47995
Caddo County OK,40015,28762
Canadian County OK,40017,148306
Carter County OK,40019,48111
Cherokee County OK,40021,48657
Choctaw County OK,40023,14672
Cimarron County OK,40025,2137
Cleveland County OK,40027,284014
Coal County OK,40029,5495
Comanche County OK,40031,120749
Cotton County OK,40033,5666
Craig County OK,40035,14142
Creek County OK,40037,71522
Custer County OK,40039,29003
Delaware County OK,40041,43009
Dewey County OK,40043,4891
Ellis County OK,40045,3859
Garfield County OK,40047,61056
Garvin County OK,40049,27711
Grady County OK,40051,55834
Grant County OK,40053,4333
Greer County OK,40055,5712
Harmon County OK,40057,2653
Harper County OK,40059,3688
Haskell County OK,40061,12627
Hughes County OK,40063,13279
Jackson County OK,40065,24530
Jefferson County OK,40067,6002
Johnston County OK,40069,11085
Kay County OK,40071,43538
Kingfisher County OK,40073,15765
Kiowa County OK,40075,8708
Latimer County OK,40077,10073
Le Flore County OK,40079,49853
Lincoln County OK,40081,34877
Logan County OK,40083,48011
Love County OK,40085,10253
McClain County OK,40087,40474
McCurtain County OK,40089,32832
McIntosh County OK,40091,19596
Major County OK,40093,7629
Marshall County OK,40095,16931
Mayes County OK,40097,41100
Murray County OK,40099,14073
Muskogee County OK,40101,67997
Noble County OK,40103,11131
Nowata County OK,40105,10076
Okfuskee County OK,40107,11993
Oklahoma County OK,40109,797434
Okmulgee County OK,40111,38465
Osage County OK,40113,46963
Ottawa County OK,40115,31127
Pawnee County OK,40117,16376
Payne County OK,40119,81784
Pittsburg County OK,40121,43654
Pontotoc County OK,40123,38284
Pottawatomie County OK,40125,72592
Pushmataha County OK,40127,11096
Roger Mills County OK,40129,3583
Rogers County OK,40131,92459
Seminole County OK,40133,24258
Sequoyah County OK,40135,41569
Stephens County OK,40137,43143
Texas County OK,40139,19983
Tillman County OK,40141,7250
Tulsa County OK,40143,651552
Wagoner County OK,40145,81289
Washington County OK,40147,51527
Washita County OK,40149,10916
Woods County OK,40151,8793
Woodward County OK,40153,20211
Baker County OR,41001,16124
Benton County OR,41003,93053
Clackamas County OR,41005,418187
Clatsop County OR,41007,40224
Columbia County OR,41009,52354
Coos County OR,41011,64487
Crook County OR,41013,24404
Curry County OR,41015,22925
Deschutes County OR,41017,197692
Douglas County OR,41019,110980
Gilliam County OR,41021,1912
Grant County OR,41023,7199
Harney County OR,41025,7393
Hood River County OR,41027,23382
Jackson County OR,41029,220944
Jefferson County OR,41031,24658
Josephine County OR,41033,87487
Klamath County OR,41035,68238
Lake County OR,41037,7869
Lane County OR,41039,382067
Lincoln County OR,41041,49962
Linn County OR,41043,129749
Malheur County OR,41045,30571
Marion County OR,41047,347818
Morrow County OR,41049,11603
Multnomah County OR,41051,812855
Polk County OR,41053,86085
Sherman County OR,41055,1780
Tillamook County OR,41057,27036
Umatilla County OR,41059,77950
Union County OR,41061,26835
Wallowa County OR,41063,7208
Wasco County OR,41065,26682
Washington County OR,41067,601592
Wheeler County OR,41069,1332
Yamhill County OR,41071,107100
Adams County PA,42001,103009
Allegheny County PA,42003,1216045
Armstrong County PA,42005,64735
Beaver County PA,42007,163929
Bedford County PA,42009,47888
Berks County PA,42011,421164
Blair County PA,42013,121829
Bradford County PA,42015,60323
Bucks County PA,42017,628270
Butler County PA,42019,187853
Cambria County PA,42021,130192
Cameron County PA,42023,4447
Carbon County PA,42025,64182
Centre County PA,42027,162385
Chester County PA,42029,524989
Clarion County PA,42031,38438
Clearfield County PA,42033,79255
Clinton County PA,42035,38632
Columbia County PA,42037,64964
Crawford County PA,42039,84629
Cumberland County PA,42041,253370
Dauphin County PA,42043,278299
Delaware County PA,42045,566747
Elk County PA,42047,29910
Erie County PA,42049,269728
Fayette County PA,42051,129274
Forest County PA,42053,7247
Franklin County PA,42055,155027
Fulton County PA,42057,14530
Greene County PA,42059,36233
Huntingdon County PA,42061,45144
Indiana County PA,42063,84073
Jefferson County PA,42065,43425
Juniata County PA,42067,24763
Lackawanna County PA,42069,209674
Lancaster County PA,42071,545724
Lawrence County PA,42073,85512
Lebanon County PA,42075,141793
Lehigh County PA,42077,369318
Luzerne County PA,42079,317417
Lycoming County PA,42081,113299
McKean County PA,42083,40625
Mercer County PA,42085,109424
Mifflin County PA,42087,46138
Monroe County PA,42089,170271
Montgomery County PA,42091,830915
Montour County PA,42093,18230
Northampton County PA,42095,305285
Northumberland County PA,42097,90843
Perry County PA,42099,46272
Philadelphia County PA,42101,1584064
Pike County PA,42103,55809
Potter County PA,42105,16526
Schuylkill County PA,42107,141359
Snyder County PA,42109,40372
Somerset County PA,42111,73447
Sullivan County PA,42113,6066
Susquehanna County PA,42115,40328
Tioga County PA,42117,40591
Union County PA,42119,44923
Venango County PA,42121,50668
Warren County PA,42123,39191
Washington County PA,42125,206865
Wayne County PA,42127,51361
Westmoreland County PA,42129,348899
Wyoming County PA,42131,26794
York County PA,42133,449058
Bristol County RI,44001,48479
Kent County RI,44003,164292
Newport County RI,44005,82082
Providence County RI,44007,638931
Washington County RI,44009,125577
Abbeville County SC,45001,24527
Aiken County SC,45003,170872
Allendale County SC,45005,8688
Anderson County SC,45007,202558
Bamberg County SC,45009,14066
Barnwell County SC,45011,20866
Beaufort County SC,45013,192122
Berkeley County SC,45015,227907
Calhoun County SC,45017,14553
Charleston County SC,45019,411406
Cherokee County SC,45021,57300
Chester County SC,45023,32244
Chesterfield County SC,45025,45650
Clarendon County SC,45027,33745
Colleton County SC,45029,37677
Darlington County SC,45031,66618
Dillon County SC,45033,30479
Dorchester County SC,45035,162809
Edgefield County SC,45037,27260
Fairfield County SC,45039,22347
Florence County SC,45041,138293
Georgetown County SC,45043,62680
Greenville County SC,45045,523542
Greenwood County SC,45047,70811
Hampton County SC,45049,19222
Horry County SC,45051,354081
Jasper County SC,45053,30073
Kershaw County SC,45055,66551
Lancaster County SC,45057,98012
Laurens County SC,45059,67493
Lee County SC,45061,16828
Lexington County SC,45063,298750
McCormick County SC,45065,9463
Marion County SC,45067,30657
Marlboro County SC,45069,26118
Newberry County SC,45071,38440
Oconee County SC,45073,79546
Orangeburg County SC,45075,86175
Pickens County SC,45077,126884
Richland County SC,45079,415759
Saluda County SC,45081,20473
Spartanburg County SC,45083,319785
Sumter County SC,45085,106721
Union County SC,45087,27316
Williamsburg County SC,45089,30368
York County SC,45091,280979
Aurora County SD,46003,2751
Beadle County SD,46005,18453
Bennett County SD,46007,3365
Bon Homme County SD,46009,6901
Brookings County SD,46011,35077
Brown County SD,46013,38839
Brule County SD,46015,5297
Buffalo County SD,46017,1962
Butte County SD,46019,10429
Campbell County SD,46021,1376
Charles Mix County SD,46023,9292
Clark County SD,46025,3736
Clay County SD,46027,14070
Codington County SD,46029,28009
Corson County SD,46031,4086
Custer County SD,46033,8972
Davison County SD,46035,19775
Day County SD,46037,5424
Deuel County SD,46039,4351
Dewey County SD,46041,5892
Douglas County SD,46043,2921
Edmunds County SD,46045,3829
Fall River County SD,46047,6713
Faulk County SD,46049,2299
Grant County SD,46051,7052
Gregory County SD,46053,4185
Haakon County SD,46055,1899
Hamlin County SD,46057,6164
Hand County SD,46059,3191
Hanson County SD,46061,3453
Harding County SD,46063,1298
Hughes County SD,46065,17526
Hutchinson County SD,46067,7291
Hyde County SD,46069,1301
Jackson County SD,46071,3344
Jerauld County SD,46073,2013
Jones County SD,46075,903
Kingsbury County SD,46077,4939
Lake County SD,46079,12797
Lawrence County SD,46081,25844
Lincoln County SD,46083,61128
Lyman County SD,46085,3781
McCook County SD,46087,5586
McPherson County SD,46089,2379
Marshall County SD,46091,4935
Meade County SD,46093,28332
Mellette County SD,46095,2061
Miner County SD,46097,2216
Minnehaha County SD,46099,193134
Moody County SD,46101,6576
Oglala Lakota County SD,46102,14177
Pennington County SD,46103,113775
Perkins County SD,46105,2865
Potter County SD,46107,2153
Roberts County SD,46109,10394
Sanborn County SD,46111,2344
Spink County SD,46115,6376
Stanley County SD,46117,3098
Sully County SD,46119,1391
Todd County SD,46121,10177
Tripp County SD,46123,5441
Turner County SD,46125,8384
Union County SD,46127,15932
Walworth County SD,46129,5435
Yankton County SD,46135,22814
Ziebach County SD,46137,2756
Anderson County TN,47001,76978
Bedford County TN,47003,49713
Benton County TN,47005,16160
Bledsoe County TN,47007,15064
Blount County TN,47009,133088
Bradley County TN,47011,108110
Campbell County TN,47013,39842
Cannon County TN,47015,14678
Carroll County TN,47017,27767
Carter County TN,47019,56391
Cheatham County TN,47021,40667
Chester County TN,47023,17297
Claiborne County TN,47025,31959
Clay County TN,47027,7615
Cocke County TN,47029,36004
Coffee County TN,47031,56520
Crockett County TN,47033,14230
Cumberland County TN,47035,60520
Davidson County TN,47037,694144
Decatur County TN,47039,11663
DeKalb County TN,47041,20490
Dickson County TN,47043,53948
Dyer County TN,47045,37159
Fayette County TN,47047,41133
Fentress County TN,47049,18523
Franklin County TN,47051,42208
Gibson County TN,47053,49133
Giles County TN,47055,29464
Grainger County TN,47057,23320
Greene County TN,47059,69069
Grundy County TN,47061,13427
Hamblen County TN,47063,64934
Hamilton County TN,47065,367804
Hancock County TN,47067,6620
Hardeman County TN,47069,25050
Hardin County TN,47071,25652
Hawkins County TN,47073,56786
Haywood County TN,47075,17304
Henderson County TN,47077,28117
Henry County TN,47079,32345
Hickman County TN,47081,25178
Houston County TN,47083,8201
Humphreys County TN,47085,18582
Jackson County TN,47087,11786
Jefferson County TN,47089,54495
Johnson County TN,47091,17788
Knox County TN,47093,470313
Lake County TN,47095,7016
Lauderdale County TN,47097,25633
Lawrence County TN,47099,44142
Lewis County TN,47101,12268
Lincoln County TN,47103,34366
Loudon County TN,47105,54068
McMinn County TN,47107,53794
McNairy County TN,47109,25694
Macon County TN,47111,24602
Madison County TN,47113,97984
Marion County TN,47115,28907
Marshall County TN,47117,34375
Maury County TN,47119,96387
Meigs County TN,47121,12422
Monroe County TN,47123,46545
Montgomery County TN,47125,208993
Moore County TN,47127,6488
Morgan County TN,47129,21403
Obion County TN,47131,30069
Overton County TN,47133,22241
Perry County TN,47135,8076
Pickett County TN,47137,5048
Polk County TN,47139,16832
Putnam County TN,47141,80245
Rhea County TN,47143,33167
Roane County TN,47145,53382
Robertson County TN,47147,71813
Rutherford County TN,47149,332285
Scott County TN,47151,22068
Sequatchie County TN,47153,15026
Sevier County TN,47155,98250
Shelby County TN,47157,937166
Smith County TN,47159,20157
Stewart County TN,47161,13715
Sullivan County TN,47163,158348
Sumner County TN,47165,191283
Tipton County TN,47167,61599
Trousdale County TN,47169,11284
Unicoi County TN,47171,17883
Union County TN,47173,19972
Van Buren County TN,47175,5872
Warren County TN,47177,41277
Washington County TN,47179,129375
Wayne County TN,47181,16673
Weakley County TN,47183,33328
White County TN,47185,27345
Williamson County TN,47187,238412
Wilson County TN,47189,144657
Anderson County TX,48001,57735
Andrews County TX,48003,18705
Angelina County TX,48005,86715
Aransas County TX,48007,23510
Archer County TX,48009,8553
Armstrong County TX,48011,1887
Atascosa County TX,48013,51153
Austin County TX,48015,30032
Bailey County TX,48017,7000
Bandera County TX,48019,23112
Bastrop County TX,48021,88723
Baylor County TX,48023,3509
Bee County TX,48025,32565
Bell County TX,48027,362924
Bexar County TX,48029,2003554
Blanco County TX,48031,11931
Borden County TX,48033,654
Bosque County TX,48035,18685
Bowie County TX,48037,93245
Brazoria County TX,48039,374264
Brazos County TX,48041,229211
Brewster County TX,48043,9203
Briscoe County TX,48045,1546
Brooks County TX,48047,7093
Brown County TX,48049,37864
Burleson County TX,48051,18443
Burnet County TX,48053,48155
Caldwell County TX,48055,43664
Calhoun County TX,48057,21290
Callahan County TX,48059,13943
Cameron County TX,48061,423163
Camp County TX,48063,13094
Carson County TX,48065,5926
Cass County TX,48067,30026
Castro County TX,48069,7530
Chambers County TX,48071,43837
Cherokee County TX,48073,52646
Childress County TX,48075,7306
Clay County TX,48077,10471
Cochran County TX,48079,2853
Coke County TX,48081,3387
Coleman County TX,48083,8175
Collin County TX,48085,1034730
Collingsworth County TX,48087,2920
Colorado County TX,48089,21493
Comal County TX,48091,156209
Comanche County TX,48093,13635
Concho County TX,48095,2726
Cooke County TX,48097,41257
Coryell County TX,48099,75951
Cottle County TX,48101,1398
Crane County TX,48103,4797
Crockett County TX,48105,3464
Crosby County TX,48107,5737
Culberson County TX,48109,2171
Dallam County TX,48111,7287
Dallas County TX,48113,2635516
Dawson County TX,48115,12728
Deaf Smith County TX,48117,18546
Delta County TX,48119,5331
Denton County TX,48121,887207
DeWitt County TX,48123,20160
Dickens County TX,48125,2211
Dimmit County TX,48127,10124
Donley County TX,48129,3278
Duval County TX,48131,11157
Eastland County TX,48133,18360
Ector County TX,48135,166223
Edwards County TX,48137,1932
Ellis County TX,48139,184826
El Paso County TX,48141,839238
Erath County TX,48143,42698
Falls County TX,48145,17297
Fannin County TX,48147,35514
Fayette County TX,48149,25346
Fisher County TX,48151,3830
Floyd County TX,48153,5712
Foard County TX,48155,1155
Fort Bend County TX,48157,811688
Franklin County TX,48159,10725
Freestone County TX,48161,19717
Frio County TX,48163,20306
Gaines County TX,48165,21492
Galveston County TX,48167,342139
Garza County TX,48169,6229
Gillespie County TX,48171,26988
Glasscock County TX,48173,1409
Goliad County TX,48175,7658
Gonzales County TX,48177,20837
Gray County TX,48179,21886
Grayson County TX,48181,136212
Gregg County TX,48183,123945
Grimes County TX,48185,28880
Guadalupe County TX,48187,166847
Hale County TX,48189,33406
Hall County TX,48191,2964
Hamilton County TX,48193,8461
Hansford County TX,48195,5399
Hardeman County TX,48197,3933
Hardin County TX,48199,57602
Harris County TX,48201,4713325
Harrison County TX,48203,66553
Hartley County TX,48205,5576
Haskell County TX,48207,5658
Hays County TX,48209,230191
Hemphill County TX,48211,3819
Henderson County TX,48213,82737
Hidalgo County TX,48215,868707
Hill County TX,48217,36649
Hockley County TX,48219,23021
Hood County TX,48221,61643
Hopkins County TX,48223,37084
Houston County TX,48225,22968
Howard County TX,48227,36664
Hudspeth County TX,48229,4886
Hunt County TX,48231,98594
Hutchinson County TX,48233,20938
Irion County TX,48235,1536
Jack County TX,48237,8935
Jackson County TX,48239,14760
Jasper County TX,48241,35529
Jeff Davis County TX,48243,2274
Jefferson County TX,48245,251565
Jim Hogg County TX,48247,5200
Jim Wells County TX,48249,40482
Johnson County TX,48251,175817
Jones County TX,48253,20083
Karnes County TX,48255,15601
Kaufman County TX,48257,136154
Kendall County TX,48259,47431
Kenedy County TX,48261,404
Kent County TX,48263,762
Kerr County TX,48265,52600
Kimble County TX,48267,4337
King County TX,48269,272
Kinney County TX,48271,3667
Kleberg County TX,48273,30680
Knox County TX,48275,3664
Lamar County TX,48277,49859
Lamb County TX,48279,12893
Lampasas County TX,48281,21428
La Salle County TX,48283,7520
Lavaca County TX,48285,20154
Lee County TX,48287,17239
Leon County TX,48289,17404
Liberty County TX,48291,88219
Limestone County TX,48293,23437
Lipscomb County TX,48295,3233
Live Oak County TX,48297,12207
Llano County TX,48299,21795
Loving County TX,48301,169
Lubbock County TX,48303,310569
Lynn County TX,48305,5951
McCulloch County TX,48307,7984
McLennan County TX,48309,256623
McMullen County TX,48311,743
Madison County TX,48313,14284
Marion County TX,48315,9854
Martin County TX,48317,5771
Mason County TX,48319,4274
Matagorda County TX,48321,36643
Maverick County TX,48323,58722
Medina County TX,48325,51584
Menard County TX,48327,2138
Midland County TX,48329,176832
Milam County TX,48331,24823
Mills County TX,48333,4873
Mitchell County TX,48335,8545
Montague County TX,48337,19818
Montgomery County TX,48339,607391
Moore County TX,48341,20940
Morris County TX,48343,12388
Motley County TX,48345,1200
Nacogdoches County TX,48347,65204
Navarro County TX,48349,50113
Newton County TX,48351,13595
Nolan County TX,48353,14714
Nueces County TX,48355,362294
Ochiltree County TX,48357,9836
Oldham County TX,48359,2112
Orange County TX,48361,83396
Palo Pinto County TX,48363,29189
Panola County TX,48365,23194
Parker County TX,48367,142878
Parmer County TX,48369,9605
Pecos County TX,48371,15823
Polk County TX,48373,51353
Potter County TX,48375,117415
Presidio County TX,48377,6704
Rains County TX,48379,12514
Randall County TX,48381,137713
Reagan County TX,48383,3849
Real County TX,48385,3452
Red River County TX,48387,12023
Reeves County TX,48389,15976
Refugio County TX,48391,6948
Roberts County TX,48393,854
Robertson County TX,48395,17074
Rockwall County TX,48397,104915
Runnels County TX,48399,10264
Rusk County TX,48401,54406
Sabine County TX,48403,10542
San Augustine County TX,48405,8237
San Jacinto County TX,48407,28859
San Patricio County TX,48409,66730
San Saba County TX,48411,6055
Schleicher County TX,48413,2793
Scurry County TX,48415,16703
Shackelford County TX,48417,3265
Shelby County TX,48419,25274
Sherman County TX,48421,3022
Smith County TX,48423,232751
Somervell County TX,48425,9128
Starr County TX,48427,64633
Stephens County TX,48429,9366
Sterling County TX,48431,1291
Stonewall County TX,48433,1350
Sutton County TX,48435,3776
Swisher County TX,48437,7397
Tarrant County TX,48439,2102515
Taylor County TX,48441,138034
Terrell County TX,48443,776
Terry County TX,48445,12337
Throckmorton County TX,48447,1501
Titus County TX,48449,32750
Tom Green County TX,48451,119200
Travis County TX,48453,1273954
Trinity County TX,48455,14651
Tyler County TX,48457,21672
Upshur County TX,48459,41753
Upton County TX,48461,3657
Uvalde County TX,48463,26741
Val Verde County TX,48465,49025
Van Zandt County TX,48467,56590
Victoria County TX,48469,92084
Walker County TX,48471,72971
Waller County TX,48473,55246
Ward County TX,48475,11998
Washington County TX,48477,35882
Webb County TX,48479,276652
Wharton County TX,48481,41556
Wheeler County TX,48483,5056
Wichita County TX,48485,132230
Wilbarger County TX,48487,12769
Willacy County TX,48489,21358
Williamson County TX,48491,590551
Wilson County TX,48493,51070
Winkler County TX,48495,8010
Wise County TX,48497,69984
Wood County TX,48499,45539
Yoakum County TX,48501,8713
Young County TX,48503,18010
Zapata County TX,48505,14179
Zavala County TX,48507,11840
Beaver County UT,49001,6710
Box Elder County UT,49003,56046
Cache County UT,49005,128289
Carbon County UT,49007,20463
Daggett County UT,49009,950
Davis County UT,49011,355481
Duchesne County UT,49013,19938
Emery County UT,49015,10012
Garfield County UT,49017,5051
Grand County UT,49019,9754
Iron County UT,49021,54839
Juab County UT,49023,12017
Kane County UT,49025,7886
Millard County UT,49027,13188
Morgan County UT,49029,12124
Piute County UT,49031,1479
Rich County UT,49033,2483
Salt Lake County UT,49035,1160437
San Juan County UT,49037,15308
Sanpete County UT,49039,30939
Sevier County UT,49041,21620
Summit County UT,49043,42145
Tooele County UT,49045,72259
Uintah County UT,49047,35734
Utah County UT,49049,636235
Wasatch County UT,49051,34091
Washington County UT,49053,177556
Wayne County UT,49055,2711
Weber County UT,49057,260213
Addison County VT,50001,36777
Bennington County VT,50003,35470
Caledonia County VT,50005,29993
Chittenden County VT,50007,163774
Essex County VT,50009,6163
Franklin County VT,50011,49402
Grand Isle County VT,50013,7235
Lamoille County VT,50015,25362
Orange County VT,50017,28892
Orleans County VT,50019,27037
Rutland County VT,50021,58191
Washington County VT,50023,58409
Windham County VT,50025,42222
Windsor County VT,50027,55062
Accomack County VA,51001,32316
Albemarle County VA,51003,109330
Alleghany County VA,51005,14860
Amelia County VA,51007,13145
Amherst County VA,51009,31605
Appomattox County VA,51011,15911
Arlington County VA,51013,236842
Augusta County VA,51015,75558
Bath County VA,51017,4147
Bedford County VA,51019,78997
Bland County VA,51021,6280
Botetourt County VA,51023,33419
Brunswick County VA,51025,16231
Buchanan County VA,51027,21004
Buckingham County VA,51029,17148
Campbell County VA,51031,54885
Caroline County VA,51033,30725
Carroll County VA,51035,29791
Charles City County VA,51036,6963
Charlotte County VA,51037,11880
Chesterfield County VA,51041,352802
Clarke County VA,51043,14619
Craig County VA,51045,5131
Culpeper County VA,51047,52605
Cumberland County VA,51049,9932
Dickenson County VA,51051,14318
Dinwiddie County VA,51053,28544
Essex County VA,51057,10953
Fairfax County VA,51059,1147532
Fauquier County VA,51061,71222
Floyd County VA,51063,15749
Fluvanna County VA,51065,27270
Franklin County VA,51067,56042
Frederick County VA,51069,89313
Giles County VA,51071,16720
Gloucester County VA,51073,37348
Goochland County VA,51075,23753
Grayson County VA,51077,15550
Greene County VA,51079,19819
Greensville County VA,51081,11336
Halifax County VA,51083,33911
Hanover County VA,51085,107766
Henrico County VA,51087,330818
Henry County VA,51089,50557
Highland County VA,51091,2190
Isle of Wight County VA,51093,37109
James City County VA,51095,76523
King and Queen County VA,51097,7025
King George County VA,51099,26836
King William County VA,51101,17148
Lancaster County VA,51103,10603
Lee County VA,51105,23423
Loudoun County VA,51107,413538
Louisa County VA,51109,37591
Lunenburg County VA,51111,12196
Madison County VA,51113,13261
Mathews County VA,51115,8834
Mecklenburg County VA,51117,30587
Middlesex County VA,51119,10582
Montgomery County VA,51121,98535
Nelson County VA,51125,14930
New Kent County VA,51127,23091
Northampton County VA,51131,11710
Northumberland County VA,51133,12095
Nottoway County VA,51135,15232
Orange County VA,51137,37051
Page County VA,51139,23902
Patrick County VA,51141,17608
Pittsylvania County VA,51143,60354
Powhatan County VA,51145,29652
Prince Edward County VA,51147,22802
Prince George County VA,51149,38353
Prince William County VA,51153,470335
Pulaski County VA,51155,34027
Rappahannock County VA,51157,7370
Richmond County VA,51159,9023
Roanoke County VA,51161,94186
Rockbridge County VA,51163,22573
Rockingham County VA,51165,81948
Russell County VA,51167,26586
Scott County VA,51169,21566
Shenandoah County VA,51171,43616
Smyth County VA,51173,30104
Southampton County VA,51175,17631
Spotsylvania County VA,51177,136215
Stafford County VA,51179,152882
Surry County VA,51181,6422
Sussex County VA,51183,11159
Tazewell County VA,51185,40595
Warren County VA,51187,40164
Washington County VA,51191,53740
Westmoreland County VA,51193,18015
Wise County VA,51195,37383
Wythe County VA,51197,28684
York County VA,51199,68280
Alexandria city VA,51510,159428
Bristol city VA,51520,16762
Buena Vista city VA,51530,6478
Charlottesville city VA,51540,47266
Chesapeake city VA,51550,244835
Colonial Heights city VA,51570,17370
Covington city VA,51580,5538
Danville city VA,51590,40044
Emporia city VA,51595,5346
Fairfax city VA,51600,24019
Falls Church city VA,51610,14617
Franklin city VA,51620,7967
Fredericksburg city VA,51630,29036
Galax city VA,51640,6347
Hampton city VA,51650,134510
Harrisonburg city VA,51660,53016
Hopewell city VA,51670,22529
Lexington city VA,51678,7446
Lynchburg city VA,51680,82168
Manassas city VA,51683,41085
Manassas Park city VA,51685,17478
Martinsville city VA,51690,12554
Newport News city VA,51700,179225
Norfolk city VA,51710,242742
Norton city VA,51720,3981
Petersburg city VA,51730,31346
Poquoson city VA,51735,12271
Portsmouth city VA,51740,94398
Radford city VA,51750,18249
Richmond city VA,51760,230436
Roanoke city VA,51770,99143
Salem city VA,51775,25301
Staunton city VA,51790,24932
Suffolk city VA,51800,92108
Virginia Beach city VA,51810,449974
Waynesboro city VA,51820,22630
Williamsburg city VA,51830,14954
Winchester city VA,51840,28078
Adams County WA,53001,19983
